Candidate_ID,Resume_Text,Skills,Experience (Years),Education,Certifications,Applied_Job_Title,Required_Skills,Industry,Job_Description,Work_Type,Location,Salary_Expectation,Offered_Salary,Application_Status,Hired,Performance_Score
CAND_1014,"Candidate 14 has experience in Java, Spring Boot, Microservices.","React, JavaScript, Node.js",4,Diploma,Certified Ethical Hacker,AI Engineer,"React, JavaScript, Node.js",Finance,"Looking for a AI Engineer with skills in React, JavaScript, Node.js.",Hybrid,New York,143223,138732,Shortlisted,0,
CAND_1015,"Candidate 15 has experience in Deep Learning, TensorFlow, PyTorch.","Deep Learning, TensorFlow, PyTorch",1,PhD,PMP,Security Analyst,"Deep Learning, TensorFlow, PyTorch",Finance,"Looking for a Security Analyst with skills in Deep Learning, TensorFlow, PyTorch.",Hybrid,New York,88091,88390,Hired,1,0.21
CAND_1016,"Candidate 16 has experience in Python, Machine Learning, NLP.","SQL, Data Analysis, Tableau",7,PhD,PMP,Data Scientist,"Python, Machine Learning, NLP",IT,"Looking for a Data Scientist with skills in Python, Machine Learning, NLP.",On-site,Berlin,149561,153514,Rejected,0,
CAND_1017,"Candidate 17 has experience in C++, Embedded Systems, IoT.","AWS, DevOps, Kubernetes",3,Diploma,Google Data Engineer,AI Engineer,"C++, Embedded Systems, IoT",Healthcare,"Looking for a AI Engineer with skills in C++, Embedded Systems, IoT.",Remote,New York,138513,136312,Rejected,0,
CAND_1018,"Candidate 18 has experience in AWS, DevOps, Kubernetes.","Python, Machine Learning, NLP",6,Diploma,Google Data Engineer,Security Analyst,"Python, Machine Learning, NLP",Education,"Looking for a Security Analyst with skills in Python, Machine Learning, NLP.",On-site,New York,88239,86592,Rejected,0,
CAND_1019,"Candidate 19 has experience in AWS, DevOps, Kubernetes.","React, JavaScript, Node.js",7,Diploma,Certified Ethical Hacker,Data Scientist,"Cybersecurity, Penetration Testing, Risk Assessment",Education,"Looking for a Data Scientist with skills in Cybersecurity, Penetration Testing, Risk Assessment.",Remote,Chicago,128610,130499,Rejected,0,
CAND_1020,"Candidate 20 has experience in React, JavaScript, Node.js.","Java, Spring Boot, Microservices",15,Bachelor's,None,DevOps Engineer,"SQL, Data Analysis, Tableau",E-commerce,"Looking for a DevOps Engineer with skills in SQL, Data Analysis, Tableau.",Remote,London,148471,151986,Hired,1,0.68
CAND_1021,"Candidate 21 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","C++, Embedded Systems, IoT",3,Bachelor's,AWS Certified,DevOps Engineer,"React, JavaScript, Node.js",Healthcare,"Looking for a DevOps Engineer with skills in React, JavaScript, Node.js.",Remote,Berlin,59413,55992,Shortlisted,0,
CAND_1022,"Candidate 22 has experience in Python, Machine Learning, NLP.","C++, Embedded Systems, IoT",4,Diploma,Certified Ethical Hacker,AI Engineer,"React, JavaScript, Node.js",IT,"Looking for a AI Engineer with skills in React, JavaScript, Node.js.",Hybrid,Berlin,57857,57373,Rejected,0,
CAND_1023,"Candidate 23 has experience in SQL, Data Analysis, Tableau.","Cybersecurity, Penetration Testing, Risk Assessment",14,Master's,None,DevOps Engineer,"SQL, Data Analysis, Tableau",IT,"Looking for a DevOps Engineer with skills in SQL, Data Analysis, Tableau.",Remote,New York,140750,139983,Hired,1,0.45
CAND_1024,"Candidate 24 has experience in Deep Learning, TensorFlow, PyTorch.","React, JavaScript, Node.js",7,PhD,None,AI Engineer,"React, JavaScript, Node.js",Finance,"Looking for a AI Engineer with skills in React, JavaScript, Node.js.",Hybrid,New York,106774,109301,Rejected,0,
CAND_1025,"Candidate 25 has experience in C++, Embedded Systems, IoT.","AWS, DevOps, Kubernetes",11,PhD,None,Security Analyst,"Deep Learning, TensorFlow, PyTorch",Finance,"Looking for a Security Analyst with skills in Deep Learning, TensorFlow, PyTorch.",On-site,San Francisco,105884,107513,Rejected,0,
CAND_1026,"Candidate 26 has experience in Python, Machine Learning, NLP.","AWS, DevOps, Kubernetes",11,Bachelor's,AWS Certified,Software Engineer,"Java, Spring Boot, Microservices",Healthcare,"Looking for a Software Engineer with skills in Java, Spring Boot, Microservices.",Hybrid,New York,80817,84911,Hired,1,0.54
CAND_1027,"Candidate 27 has experience in Deep Learning, TensorFlow, PyTorch.","React, JavaScript, Node.js",10,Bachelor's,Google Data Engineer,Data Scientist,"Cybersecurity, Penetration Testing, Risk Assessment",IT,"Looking for a Data Scientist with skills in Cybersecurity, Penetration Testing, Risk Assessment.",On-site,Berlin,84005,79540,Interviewed,0,
CAND_1028,"Candidate 28 has experience in C++, Embedded Systems, IoT.","Python, Machine Learning, NLP",13,PhD,None,Data Scientist,"Cybersecurity, Penetration Testing, Risk Assessment",IT,"Looking for a Data Scientist with skills in Cybersecurity, Penetration Testing, Risk Assessment.",On-site,Berlin,83083,83098,Rejected,0,
CAND_1029,"Candidate 29 has experience in SQL, Data Analysis, Tableau.","Cybersecurity, Penetration Testing, Risk Assessment",10,Bachelor's,Google Data Engineer,Software Engineer,"SQL, Data Analysis, Tableau",Healthcare,"Looking for a Software Engineer with skills in SQL, Data Analysis, Tableau.",Hybrid,New York,57034,55371,Hired,1,0.78
CAND_1030,"Candidate 30 has experience in C++, Embedded Systems, IoT.","SQL, Data Analysis, Tableau",3,PhD,Certified Ethical Hacker,Security Analyst,"React, JavaScript, Node.js",Healthcare,"Looking for a Security Analyst with skills in React, JavaScript, Node.js.",Hybrid,Chicago,88071,85667,Interviewed,0,
CAND_1031,"Candidate 31 has experience in Python, Machine Learning, NLP.","Python, Machine Learning, NLP",11,Bachelor's,Certified Ethical Hacker,DevOps Engineer,"Deep Learning, TensorFlow, PyTorch",Finance,"Looking for a DevOps Engineer with skills in Deep Learning, TensorFlow, PyTorch.",Hybrid,San Francisco,120243,118505,Rejected,0,
CAND_1032,"Candidate 32 has experience in React, JavaScript, Node.js.","SQL, Data Analysis, Tableau",6,PhD,PMP,DevOps Engineer,"AWS, DevOps, Kubernetes",Healthcare,"Looking for a DevOps Engineer with skills in AWS, DevOps, Kubernetes.",On-site,London,54597,53075,Interviewed,0,
CAND_1033,"Candidate 33 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","Python, Machine Learning, NLP",9,PhD,Certified Ethical Hacker,Software Engineer,"Cybersecurity, Penetration Testing, Risk Assessment",IT,"Looking for a Software Engineer with skills in Cybersecurity, Penetration Testing, Risk Assessment.",Hybrid,San Francisco,55509,51368,Shortlisted,0,
CAND_1034,"Candidate 34 has experience in AWS, DevOps, Kubernetes.","C++, Embedded Systems, IoT",13,PhD,None,Data Scientist,"AWS, DevOps, Kubernetes",E-commerce,"Looking for a Data Scientist with skills in AWS, DevOps, Kubernetes.",Remote,Berlin,105900,108786,Shortlisted,0,
CAND_1035,"Candidate 35 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","Python, Machine Learning, NLP",15,Diploma,PMP,AI Engineer,"Java, Spring Boot, Microservices",Healthcare,"Looking for a AI Engineer with skills in Java, Spring Boot, Microservices.",Hybrid,Berlin,149514,154456,Hired,1,0.71
CAND_1036,"Candidate 36 has experience in AWS, DevOps, Kubernetes.","React, JavaScript, Node.js",10,Master's,PMP,Software Engineer,"SQL, Data Analysis, Tableau",Education,"Looking for a Software Engineer with skills in SQL, Data Analysis, Tableau.",On-site,New York,51080,47531,Shortlisted,0,
CAND_1037,"Candidate 37 has experience in SQL, Data Analysis, Tableau.","Cybersecurity, Penetration Testing, Risk Assessment",9,Bachelor's,None,DevOps Engineer,"Deep Learning, TensorFlow, PyTorch",E-commerce,"Looking for a DevOps Engineer with skills in Deep Learning, TensorFlow, PyTorch.",Hybrid,San Francisco,132089,131414,Interviewed,0,
CAND_1038,"Candidate 38 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","React, JavaScript, Node.js",5,Bachelor's,AWS Certified,Security Analyst,"Java, Spring Boot, Microservices",Education,"Looking for a Security Analyst with skills in Java, Spring Boot, Microservices.",On-site,London,104297,106294,Rejected,0,
CAND_1039,"Candidate 39 has experience in React, JavaScript, Node.js.","Python, Machine Learning, NLP",2,PhD,AWS Certified,Software Engineer,"Cybersecurity, Penetration Testing, Risk Assessment",Education,"Looking for a Software Engineer with skills in Cybersecurity, Penetration Testing, Risk Assessment.",Remote,London,108324,112396,Shortlisted,0,
CAND_1040,"Candidate 40 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","Python, Machine Learning, NLP",14,Master's,None,AI Engineer,"SQL, Data Analysis, Tableau",IT,"Looking for a AI Engineer with skills in SQL, Data Analysis, Tableau.",Hybrid,Chicago,57523,52878,Rejected,0,
CAND_1041,"Candidate 41 has experience in Deep Learning, TensorFlow, PyTorch.","Cybersecurity, Penetration Testing, Risk Assessment",7,Diploma,None,Data Scientist,"Cybersecurity, Penetration Testing, Risk Assessment",Education,"Looking for a Data Scientist with skills in Cybersecurity, Penetration Testing, Risk Assessment.",On-site,London,92076,92166,Hired,1,0.32
CAND_1042,"Candidate 42 has experience in SQL, Data Analysis, Tableau.","SQL, Data Analysis, Tableau",2,Diploma,Google Data Engineer,DevOps Engineer,"AWS, DevOps, Kubernetes",Healthcare,"Looking for a DevOps Engineer with skills in AWS, DevOps, Kubernetes.",On-site,Chicago,137266,136772,Rejected,0,
CAND_1043,"Candidate 43 has experience in Deep Learning, TensorFlow, PyTorch.","Java, Spring Boot, Microservices",10,Diploma,AWS Certified,AI Engineer,"Python, Machine Learning, NLP",IT,"Looking for a AI Engineer with skills in Python, Machine Learning, NLP.",On-site,Berlin,117730,115160,Rejected,0,
CAND_1044,"Candidate 44 has experience in SQL, Data Analysis, Tableau.","AWS, DevOps, Kubernetes",2,Diploma,Google Data Engineer,Data Scientist,"AWS, DevOps, Kubernetes",E-commerce,"Looking for a Data Scientist with skills in AWS, DevOps, Kubernetes.",On-site,Berlin,66083,62964,Interviewed,0,
CAND_1045,"Candidate 45 has experience in AWS, DevOps, Kubernetes.","React, JavaScript, Node.js",5,Diploma,PMP,AI Engineer,"Cybersecurity, Penetration Testing, Risk Assessment",IT,"Looking for a AI Engineer with skills in Cybersecurity, Penetration Testing, Risk Assessment.",Remote,Chicago,54533,59213,Hired,1,0.26
CAND_1046,"Candidate 46 has experience in SQL, Data Analysis, Tableau.","C++, Embedded Systems, IoT",8,Bachelor's,PMP,AI Engineer,"AWS, DevOps, Kubernetes",IT,"Looking for a AI Engineer with skills in AWS, DevOps, Kubernetes.",Hybrid,London,105422,109397,Shortlisted,0,
CAND_1047,"Candidate 47 has experience in Python, Machine Learning, NLP.","Java, Spring Boot, Microservices",4,Diploma,None,Security Analyst,"Java, Spring Boot, Microservices",Healthcare,"Looking for a Security Analyst with skills in Java, Spring Boot, Microservices.",Hybrid,San Francisco,125758,126923,Hired,1,0.34
CAND_1048,"Candidate 48 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","Python, Machine Learning, NLP",14,Bachelor's,Certified Ethical Hacker,Security Analyst,"Cybersecurity, Penetration Testing, Risk Assessment",E-commerce,"Looking for a Security Analyst with skills in Cybersecurity, Penetration Testing, Risk Assessment.",Remote,New York,142120,146941,Interviewed,0,
CAND_1049,"Candidate 49 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","React, JavaScript, Node.js",4,PhD,Certified Ethical Hacker,Data Scientist,"Java, Spring Boot, Microservices",Finance,"Looking for a Data Scientist with skills in Java, Spring Boot, Microservices.",On-site,San Francisco,108200,103594,Shortlisted,0,
CAND_1050,"Candidate 50 has experience in AWS, DevOps, Kubernetes.","AWS, DevOps, Kubernetes",13,Diploma,Certified Ethical Hacker,DevOps Engineer,"AWS, DevOps, Kubernetes",E-commerce,"Looking for a DevOps Engineer with skills in AWS, DevOps, Kubernetes.",Hybrid,New York,94609,92775,Interviewed,0,
CAND_1051,"Candidate 51 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","Deep Learning, TensorFlow, PyTorch",1,Master's,None,AI Engineer,"SQL, Data Analysis, Tableau",IT,"Looking for a AI Engineer with skills in SQL, Data Analysis, Tableau.",Hybrid,New York,145590,140847,Rejected,0,
CAND_1052,"Candidate 52 has experience in C++, Embedded Systems, IoT.","Java, Spring Boot, Microservices",15,PhD,Certified Ethical Hacker,AI Engineer,"React, JavaScript, Node.js",IT,"Looking for a AI Engineer with skills in React, JavaScript, Node.js.",Hybrid,Chicago,125071,127365,Hired,1,0.42
CAND_1053,"Candidate 53 has experience in Java, Spring Boot, Microservices.","C++, Embedded Systems, IoT",13,Diploma,AWS Certified,Data Scientist,"Cybersecurity, Penetration Testing, Risk Assessment",Education,"Looking for a Data Scientist with skills in Cybersecurity, Penetration Testing, Risk Assessment.",On-site,Chicago,128916,124443,Rejected,0,
CAND_1054,"Candidate 54 has experience in Deep Learning, TensorFlow, PyTorch.","React, JavaScript, Node.js",9,Diploma,None,Software Engineer,"Deep Learning, TensorFlow, PyTorch",Healthcare,"Looking for a Software Engineer with skills in Deep Learning, TensorFlow, PyTorch.",On-site,London,66126,66535,Shortlisted,0,
CAND_1055,"Candidate 55 has experience in Deep Learning, TensorFlow, PyTorch.","Python, Machine Learning, NLP",3,Diploma,Google Data Engineer,Security Analyst,"C++, Embedded Systems, IoT",Education,"Looking for a Security Analyst with skills in C++, Embedded Systems, IoT.",Hybrid,New York,110670,105947,Hired,1,0.44
CAND_1056,"Candidate 56 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","Deep Learning, TensorFlow, PyTorch",5,Diploma,PMP,DevOps Engineer,"Cybersecurity, Penetration Testing, Risk Assessment",E-commerce,"Looking for a DevOps Engineer with skills in Cybersecurity, Penetration Testing, Risk Assessment.",On-site,London,78896,80616,Interviewed,0,
CAND_1057,"Candidate 57 has experience in C++, Embedded Systems, IoT.","Cybersecurity, Penetration Testing, Risk Assessment",13,Diploma,Google Data Engineer,DevOps Engineer,"C++, Embedded Systems, IoT",IT,"Looking for a DevOps Engineer with skills in C++, Embedded Systems, IoT.",On-site,San Francisco,115776,114738,Interviewed,0,
CAND_1058,"Candidate 58 has experience in Python, Machine Learning, NLP.","Java, Spring Boot, Microservices",14,Master's,PMP,DevOps Engineer,"AWS, DevOps, Kubernetes",Healthcare,"Looking for a DevOps Engineer with skills in AWS, DevOps, Kubernetes.",On-site,London,82725,78831,Shortlisted,0,
CAND_1059,"Candidate 59 has experience in React, JavaScript, Node.js.","AWS, DevOps, Kubernetes",7,Diploma,AWS Certified,AI Engineer,"SQL, Data Analysis, Tableau",Finance,"Looking for a AI Engineer with skills in SQL, Data Analysis, Tableau.",Hybrid,Berlin,50753,54697,Hired,1,0.39
CAND_1060,"Candidate 60 has experience in Deep Learning, TensorFlow, PyTorch.","C++, Embedded Systems, IoT",9,Master's,Certified Ethical Hacker,AI Engineer,"Deep Learning, TensorFlow, PyTorch",Healthcare,"Looking for a AI Engineer with skills in Deep Learning, TensorFlow, PyTorch.",On-site,New York,92563,90547,Hired,1,0.78
CAND_1061,"Candidate 61 has experience in SQL, Data Analysis, Tableau.","Java, Spring Boot, Microservices",15,Bachelor's,PMP,Software Engineer,"SQL, Data Analysis, Tableau",Education,"Looking for a Software Engineer with skills in SQL, Data Analysis, Tableau.",On-site,Berlin,121743,125543,Hired,1,0.21
CAND_1062,"Candidate 62 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","C++, Embedded Systems, IoT",4,PhD,PMP,Security Analyst,"Deep Learning, TensorFlow, PyTorch",E-commerce,"Looking for a Security Analyst with skills in Deep Learning, TensorFlow, PyTorch.",Remote,New York,136176,133271,Shortlisted,0,
CAND_1063,"Candidate 63 has experience in Python, Machine Learning, NLP.","React, JavaScript, Node.js",6,Bachelor's,Google Data Engineer,DevOps Engineer,"Deep Learning, TensorFlow, PyTorch",Healthcare,"Looking for a DevOps Engineer with skills in Deep Learning, TensorFlow, PyTorch.",Remote,San Francisco,78763,82094,Shortlisted,0,
CAND_1064,"Candidate 64 has experience in React, JavaScript, Node.js.","SQL, Data Analysis, Tableau",8,PhD,Google Data Engineer,DevOps Engineer,"React, JavaScript, Node.js",Healthcare,"Looking for a DevOps Engineer with skills in React, JavaScript, Node.js.",On-site,London,114376,112826,Rejected,0,
CAND_1065,"Candidate 65 has experience in AWS, DevOps, Kubernetes.","SQL, Data Analysis, Tableau",3,PhD,AWS Certified,Software Engineer,"SQL, Data Analysis, Tableau",Finance,"Looking for a Software Engineer with skills in SQL, Data Analysis, Tableau.",On-site,Chicago,55811,56841,Hired,1,0.89
CAND_1066,"Candidate 66 has experience in React, JavaScript, Node.js.","Python, Machine Learning, NLP",4,PhD,Google Data Engineer,AI Engineer,"Cybersecurity, Penetration Testing, Risk Assessment",IT,"Looking for a AI Engineer with skills in Cybersecurity, Penetration Testing, Risk Assessment.",Hybrid,London,53652,48869,Shortlisted,0,
CAND_1067,"Candidate 67 has experience in Python, Machine Learning, NLP.","Java, Spring Boot, Microservices",12,Bachelor's,Google Data Engineer,Software Engineer,"Deep Learning, TensorFlow, PyTorch",E-commerce,"Looking for a Software Engineer with skills in Deep Learning, TensorFlow, PyTorch.",On-site,London,100444,95494,Interviewed,0,
CAND_1068,"Candidate 68 has experience in Java, Spring Boot, Microservices.","Cybersecurity, Penetration Testing, Risk Assessment",4,Bachelor's,PMP,Software Engineer,"Java, Spring Boot, Microservices",Healthcare,"Looking for a Software Engineer with skills in Java, Spring Boot, Microservices.",Remote,New York,105091,102086,Rejected,0,
CAND_1069,"Candidate 69 has experience in Python, Machine Learning, NLP.","Cybersecurity, Penetration Testing, Risk Assessment",11,Master's,Certified Ethical Hacker,Software Engineer,"Java, Spring Boot, Microservices",Finance,"Looking for a Software Engineer with skills in Java, Spring Boot, Microservices.",Remote,London,58283,58179,Hired,1,0.76
CAND_1070,"Candidate 70 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","AWS, DevOps, Kubernetes",13,Diploma,Google Data Engineer,DevOps Engineer,"Python, Machine Learning, NLP",Education,"Looking for a DevOps Engineer with skills in Python, Machine Learning, NLP.",Hybrid,New York,126022,127087,Hired,1,0.72
CAND_1071,"Candidate 71 has experience in AWS, DevOps, Kubernetes.","React, JavaScript, Node.js",3,PhD,Google Data Engineer,Data Scientist,"C++, Embedded Systems, IoT",E-commerce,"Looking for a Data Scientist with skills in C++, Embedded Systems, IoT.",Remote,Berlin,61737,65921,Shortlisted,0,
CAND_1072,"Candidate 72 has experience in Python, Machine Learning, NLP.","Deep Learning, TensorFlow, PyTorch",3,Master's,Certified Ethical Hacker,Data Scientist,"Java, Spring Boot, Microservices",Healthcare,"Looking for a Data Scientist with skills in Java, Spring Boot, Microservices.",Remote,London,132906,133086,Shortlisted,0,
CAND_1073,"Candidate 73 has experience in C++, Embedded Systems, IoT.","Java, Spring Boot, Microservices",11,Master's,PMP,Data Scientist,"Cybersecurity, Penetration Testing, Risk Assessment",Education,"Looking for a Data Scientist with skills in Cybersecurity, Penetration Testing, Risk Assessment.",Remote,San Francisco,108791,111863,Interviewed,0,
CAND_1074,"Candidate 74 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","Cybersecurity, Penetration Testing, Risk Assessment",5,Diploma,Google Data Engineer,Software Engineer,"Cybersecurity, Penetration Testing, Risk Assessment",Finance,"Looking for a Software Engineer with skills in Cybersecurity, Penetration Testing, Risk Assessment.",On-site,Chicago,99907,98070,Rejected,0,
CAND_1075,"Candidate 75 has experience in SQL, Data Analysis, Tableau.","AWS, DevOps, Kubernetes",4,Bachelor's,Google Data Engineer,Software Engineer,"Java, Spring Boot, Microservices",Finance,"Looking for a Software Engineer with skills in Java, Spring Boot, Microservices.",On-site,London,58830,61226,Interviewed,0,
CAND_1076,"Candidate 76 has experience in Deep Learning, TensorFlow, PyTorch.","AWS, DevOps, Kubernetes",5,Master's,PMP,Security Analyst,"AWS, DevOps, Kubernetes",Healthcare,"Looking for a Security Analyst with skills in AWS, DevOps, Kubernetes.",Remote,New York,119836,114994,Hired,1,0.26
CAND_1077,"Candidate 77 has experience in AWS, DevOps, Kubernetes.","Python, Machine Learning, NLP",11,PhD,Certified Ethical Hacker,AI Engineer,"Python, Machine Learning, NLP",Healthcare,"Looking for a AI Engineer with skills in Python, Machine Learning, NLP.",Hybrid,London,73324,71878,Rejected,0,
CAND_1078,"Candidate 78 has experience in Deep Learning, TensorFlow, PyTorch.","C++, Embedded Systems, IoT",3,PhD,Certified Ethical Hacker,Software Engineer,"SQL, Data Analysis, Tableau",Finance,"Looking for a Software Engineer with skills in SQL, Data Analysis, Tableau.",Remote,Berlin,54811,54683,Shortlisted,0,
CAND_1079,"Candidate 79 has experience in AWS, DevOps, Kubernetes.","React, JavaScript, Node.js",15,Master's,None,AI Engineer,"Cybersecurity, Penetration Testing, Risk Assessment",E-commerce,"Looking for a AI Engineer with skills in Cybersecurity, Penetration Testing, Risk Assessment.",Hybrid,Berlin,140799,144985,Hired,1,0.13
CAND_1080,"Candidate 80 has experience in Java, Spring Boot, Microservices.","AWS, DevOps, Kubernetes",6,Diploma,Google Data Engineer,Security Analyst,"Java, Spring Boot, Microservices",IT,"Looking for a Security Analyst with skills in Java, Spring Boot, Microservices.",On-site,Berlin,100127,99427,Rejected,0,
CAND_1081,"Candidate 81 has experience in React, JavaScript, Node.js.","Deep Learning, TensorFlow, PyTorch",13,Diploma,Certified Ethical Hacker,AI Engineer,"Cybersecurity, Penetration Testing, Risk Assessment",Education,"Looking for a AI Engineer with skills in Cybersecurity, Penetration Testing, Risk Assessment.",Remote,Chicago,124245,128840,Hired,1,0.38
CAND_1082,"Candidate 82 has experience in Python, Machine Learning, NLP.","Python, Machine Learning, NLP",7,Master's,Certified Ethical Hacker,Security Analyst,"Java, Spring Boot, Microservices",Education,"Looking for a Security Analyst with skills in Java, Spring Boot, Microservices.",Hybrid,Berlin,78823,77944,Shortlisted,0,
CAND_1083,"Candidate 83 has experience in Deep Learning, TensorFlow, PyTorch.","Cybersecurity, Penetration Testing, Risk Assessment",14,Bachelor's,None,DevOps Engineer,"AWS, DevOps, Kubernetes",Healthcare,"Looking for a DevOps Engineer with skills in AWS, DevOps, Kubernetes.",On-site,Chicago,114844,116931,Rejected,0,
CAND_1084,"Candidate 84 has experience in SQL, Data Analysis, Tableau.","AWS, DevOps, Kubernetes",12,Diploma,PMP,Security Analyst,"Deep Learning, TensorFlow, PyTorch",Healthcare,"Looking for a Security Analyst with skills in Deep Learning, TensorFlow, PyTorch.",Remote,London,110586,115024,Interviewed,0,
CAND_1085,"Candidate 85 has experience in Deep Learning, TensorFlow, PyTorch.","Python, Machine Learning, NLP",4,Master's,Google Data Engineer,Security Analyst,"C++, Embedded Systems, IoT",IT,"Looking for a Security Analyst with skills in C++, Embedded Systems, IoT.",Remote,London,103632,105565,Rejected,0,
CAND_1086,"Candidate 86 has experience in React, JavaScript, Node.js.","Cybersecurity, Penetration Testing, Risk Assessment",10,Diploma,PMP,Security Analyst,"React, JavaScript, Node.js",IT,"Looking for a Security Analyst with skills in React, JavaScript, Node.js.",Hybrid,London,130150,127597,Hired,1,0.23
CAND_1087,"Candidate 87 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","Java, Spring Boot, Microservices",6,PhD,Google Data Engineer,Data Scientist,"SQL, Data Analysis, Tableau",Healthcare,"Looking for a Data Scientist with skills in SQL, Data Analysis, Tableau.",Hybrid,Chicago,113998,112022,Shortlisted,0,
